"Ano EmissÆo	Entrada/Sa¡da	Munic¡pio Destinat rio	CNAE (C)	Descri‡Æo do CNAE	CNAE (DivisÆo)	CNAE (Grupo)	CNAE (Classe)	NCM Produto	NCM (Cap¡tulo)	NCM (Posi‡Æo)	NCM (Subposi‡Æo)	CFOP	Descri‡Æo CFOP	CFOP (1)	CFOP (2)	Total Bruto Produtos	NCM (Cap¡tulo) Desc	NCM (Posi‡Æo) Desc	NCM (Subposi‡Æo) Desc"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08043000	08	0804	08043	1102	Compra para comercializa‡Æo	1	11	1240.75			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08044000	08	0804	08044	1102	Compra para comercializa‡Æo	1	11	318.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08051000	08	0805	08051	1102	Compra para comercializa‡Æo	1	11	35146.14			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08072000	08	0807	08072	1102	Compra para comercializa‡Æo	1	11	7318.3			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08081000	08	0808	08081	1102	Compra para comercializa‡Æo	1	11	1186.7			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08093020	08	0809	08093	1102	Compra para comercializa‡Æo	1	11	40082.37			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08109000	08	0810	08109	1101	Compra para industrializa‡Æo ou produ‡Æo rural	1	11	189760.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08119000	08	0811	08119	1102	Compra para comercializa‡Æo	1	11	25592.72			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	08129000	08	0812	08129	1102	Compra para comercializa‡Æo	1	11	47.2			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	09109900	09	0910	09109	1102	Compra para comercializa‡Æo	1	11	65.0			"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	11062000	11	1106	11062	1102	Compra para comercializa‡Æo	1	11	140.0	Produtos da ind£stria de moagem"	 malte	 amidos e f‚culas	 inulina	" gl£ten de trigo.	""""""Farinhas, sˆmolas e p¢s, dos legumes de vagem, secos, da posi‡Æo 07.13, de sagu ou das ra¡zes ou tub‚rculos da posi‡Æo 07.14 e dos produtos do Cap¡tulo 8.""""""	"			
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	11081400	11	1108	11081	1102	Compra para comercializa‡Æo	1	11	2904.22	Produtos da ind£stria de moagem"	 malte	 amidos e f‚culas	 inulina	" gl£ten de trigo.	Amidos e f‚culas"	" inulina.	- Amidos e f‚culas:"		
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	20079922	20	2007	20079	1102	Compra para comercializa‡Æo	1	11	99.0	""""""Prepara‡äes de produtos hort¡colas, fruta ou de outras partes de plantas.""""""	""""""Doces, geleias, marmelades, purˆs e pastas de fruta, obtidos por cozimento, mesmo com adi‡Æo de a‡£car ou de outros edulcorantes.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	20089900	20	2008	20089	1101	Compra para industrializa‡Æo ou produ‡Æo rural	1	11	525230.5	""""""Prepara‡äes de produtos hort¡colas, fruta ou de outras partes de plantas.""""""	""""""Fruta e outras partes comest¡veis de plantas, preparadas ou conservadas de outro modo, mesmo com adi‡Æo de a‡£car ou de outros edulcorantes ou de  lcool, nÆo especificadas nem compreendidas noutras posi‡äes.""""""	""""""- Outras, incluindo as misturas, com exclusÆo das da subposi‡Æo 2008.19:"""""""							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	21069030	21	2106	21069	1102	Compra para comercializa‡Æo	1	11	111113.0	Prepara‡äes aliment¡cias diversas.	Prepara‡äes aliment¡cias nÆo especificadas nem compreendidas noutras posi‡äes.	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	22021000	22	2202	22021	1918	Devolu‡Æo de mercadoria remetida em consigna‡Æo mercantil ou industrial	1	19	2010.0	""""""Bebidas, l¡quidos alco¢licos e vinagres.""""""	""""""µguas, incluindo as  guas minerais e as  guas gaseificadas, adicionadas de a‡£car ou de outros edulcorantes ou aromatizadas e outras bebidas nÆo alco¢licas, exceto sucos (sumos) de fruta ou de produtos hort¡colas, da posi‡Æo 20.09.""""""	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	22021000	22	2202	22021	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	34.9	""""""Bebidas, l¡quidos alco¢licos e vinagres.""""""	""""""µguas, incluindo as  guas minerais e as  guas gaseificadas, adicionadas de a‡£car ou de outros edulcorantes ou aromatizadas e outras bebidas nÆo alco¢licas, exceto sucos (sumos) de fruta ou de produtos hort¡colas, da posi‡Æo 20.09.""""""	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	22030000	22	2203	22030	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	2647.44	""""""Bebidas, l¡quidos alco¢licos e vinagres.""""""		"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	23032000	23	2303	23032	1102	Compra para comercializa‡Æo	1	11	8580.0	Res¡duos e desperd¡cios das ind£strias alimentares"	" alimentos preparados para animais.	""""""Res¡duos da fabrica‡Æo do amido e res¡duos semelhantes, polpas de beterraba, baga‡os de cana-de-a‡£car e outros desperd¡cios da ind£stria do a‡£car, borras e desperd¡cios da ind£stria da cerveja e das destilarias, mesmo em pellets.""""""	"						
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	44029000	44	4402	44029	1102	Compra para comercializa‡Æo	1	11	4990.0	""""""Madeira, carvÆo vegetal e obras de madeira.""""""	""""""CarvÆo vegetal (incluindo o carvÆo de cascas ou de caro‡os), mesmo aglomerado.""""""	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	69109000	69	6910	69109	1102	Compra para comercializa‡Æo	1	11	40.0	Produtos cerƒmicos.	""""""Pias, lavat¢rios, colunas para lavat¢rios, banheiras, bid‚s, sanit rios, caixas de descarga (autoclismos*), mict¢rios e aparelhos fixos semelhantes para usos sanit rios, de cerƒmica.""""""	"							
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	85171239	85	8517	85171	2202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	2	22	165.99	""""""M quinas, aparelhos e materiais el‚tricos, e suas partes"	" aparelhos de grava‡Æo ou de reprodu‡Æo de som, aparelhos de grava‡Æo ou de reprodu‡Æo de imagens e de som em televisÆo, e suas partes e acess¢rios.""""""	""""""Aparelhos telef“nicos, incluindo os telefones para redes celulares e para outras redes sem fio"	" outros aparelhos para a transmissÆo ou recep‡Æo de voz, imagens ou outros dados, incluindo os aparelhos para comunica‡Æo em redes por fio ou redes sem fio (tal como uma rede local (LAN) ou uma rede de  rea estendida (alargada*) (WAN)), exceto os aparelhos das posi‡äes 84.43, 85.25, 85.27 ou 85.28.""""""	""""""- Aparelhos telef“nicos, incluindo os telefones para redes celulares e para outras redes sem fio:"""""""					
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	85256090	85	8525	85256	2915	Entrada de mercadoria ou bem recebido para conserto ou reparo	2	29	888.88	""""""M quinas, aparelhos e materiais el‚tricos, e suas partes"	" aparelhos de grava‡Æo ou de reprodu‡Æo de som, aparelhos de grava‡Æo ou de reprodu‡Æo de imagens e de som em televisÆo, e suas partes e acess¢rios.""""""	""""""Aparelhos transmissores (emissores) para radiodifusÆo ou televisÆo, mesmo que incorporem um aparelho receptor ou um aparelho de grava‡Æo ou de reprodu‡Æo de som"	" cƒmeras de televisÆo, cƒmeras fotogr ficas digitais e cƒmeras de v¡deo.""""""	"					
"2018	0 - entrada	ABAETETUBA	0133401	Cultivo de a‡a¡	01	013	01334	85256090	85	8525	85256	2949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificado	2	29	781.2	""""""M quinas, aparelhos e materiais el‚tricos, e suas partes"	" aparelhos de grava‡Æo ou de reprodu‡Æo de som, aparelhos de grava‡Æo ou de reprodu‡Æo de imagens e de som em televisÆo, e suas partes e acess¢rios.""""""	""""""Aparelhos transmissores (emissores) para radiodifusÆo ou televisÆo, mesmo que incorporem um aparelho receptor ou um aparelho de grava‡Æo ou de reprodu‡Æo de som"	" cƒmeras de televisÆo, cƒmeras fotogr ficas digitais e cƒmeras de v¡deo.""""""	"					
"2018	0 - entrada	ABAETETUBA	0133402	Cultivo de banana	01	013	01334	87089990	87	8708	87089	1411	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros em opera‡Æo com mercadoria sujeita ao regime de substitui‡Æo tribut ria	1	14	141.0	""""""Ve¡culos autom¢veis, tratores, ciclos e outros ve¡culos terrestres, suas partes e acess¢rios.""""""	Partes e acess¢rios dos ve¡culos autom¢veis das posi‡äes 87.01 a 87.05.	- Outras partes e acess¢rios:"							
"2018	0 - entrada	ABAETETUBA	0133405	Cultivo de coco-da-ba¡a	01	013	01334	87120010	87	8712	87120	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	260.0	""""""Ve¡culos autom¢veis, tratores, ciclos e outros ve¡culos terrestres, suas partes e acess¢rios.""""""		"							
"2018	0 - entrada	ABAETETUBA	0133499	Cultivo de frutas de lavoura permanente nÆo especificadas anteriormente	01	013	01334	85444900	85	8544	85444	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	18.0	""""""M quinas, aparelhos e materiais el‚tricos, e suas partes"	" aparelhos de grava‡Æo ou de reprodu‡Æo de som, aparelhos de grava‡Æo ou de reprodu‡Æo de imagens e de som em televisÆo, e suas partes e acess¢rios.""""""	""""""Fios, cabos (incluindo os cabos coaxiais) e outros condutores, isolados para usos el‚tricos (incluindo os envernizados ou oxidados anodicamente), mesmo com pe‡as de conexÆo"	" cabos de fibras ¢pticas, constitu¡dos por fibras embainhadas individualmente, mesmo com condutores el‚tricos ou munidos de pe‡as de conexÆo.""""""	""""""- Outros condutores el‚tricos, para uma tensÆo nÆo superior a 1.000 V:"""""""					
"2018	0 - entrada	ABAETETUBA	0139305	Cultivo de dendˆ	01	013	01393	85392910	85	8539	85392	1411	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros em opera‡Æo com mercadoria sujeita ao regime de substitui‡Æo tribut ria	1	14	300.0	""""""M quinas, aparelhos e materiais el‚tricos, e suas partes"	" aparelhos de grava‡Æo ou de reprodu‡Æo de som, aparelhos de grava‡Æo ou de reprodu‡Æo de imagens e de som em televisÆo, e suas partes e acess¢rios.""""""	""""""Lƒmpadas e tubos el‚tricos de incandescˆncia ou de descarga, incluindo os artigos denominados """"""""far¢is e projetores, em unidades seladas""""""	""""""- Outras lƒmpadas e tubos de incandescˆncia, exceto de raios ultravioleta ou infravermelhos:"""""""						
"2018	0 - entrada	ABAETETUBA	0139305	Cultivo de dendˆ	01	013	01393	87039000	87	8703	87039	2949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificado	2	29	34769.66	""""""Ve¡culos autom¢veis, tratores, ciclos e outros ve¡culos terrestres, suas partes e acess¢rios.""""""	""""""Autom¢veis de passageiros e outros ve¡culos autom¢veis principalmente concebidos para transporte de pessoas (exceto os da posi‡Æo 87.02), incluindo os ve¡culos de uso misto (station wagons) e os autom¢veis de corrida.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	01022990	01	0102	01022	1101	Compra para industrializa‡Æo ou produ‡Æo rural	1	11	891327.24			"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	01022990	01	0102	01022	1201	Devolu‡Æo de venda de produ‡Æo do estabelecimento	1	12	61029.5			"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	21039019	21	2103	21039	1201	Devolu‡Æo de venda de produ‡Æo do estabelecimento	1	12	18120.0	Prepara‡äes aliment¡cias diversas.	Prepara‡äes para molhos e molhos preparados"	 condimentos e temperos compostos	" farinha de mostarda e mostarda preparada.	"					
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30023090	30	3002	30023	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	255.0	Produtos farmacˆuticos.	""""""Sangue humano"	 sangue animal preparado para usos terapˆuticos, profil ticos ou de diagn¢stico	 antissoros, outras fra‡äes do sangue e produtos imunol¢gicos, mesmo modificados ou obtidos por via biotecnol¢gica	" vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes.""""""	"				
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30023090	30	3002	30023	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	22828.32	Produtos farmacˆuticos.	""""""Sangue humano"	 sangue animal preparado para usos terapˆuticos, profil ticos ou de diagn¢stico	 antissoros, outras fra‡äes do sangue e produtos imunol¢gicos, mesmo modificados ou obtidos por via biotecnol¢gica	" vacinas, toxinas, culturas de microrganismos (exceto leveduras) e produtos semelhantes.""""""	"				
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30041019	30	3004	30041	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	1654.5	Produtos farmacˆuticos.	""""""Medicamentos (exceto os produtos das posi‡äes 30.02, 30.05 ou 30.06) constitu¡dos por produtos misturados ou nÆo misturados, preparados para fins terapˆuticos ou profil ticos, apresentados em doses (incluindo os destinados a serem administrados por via percutƒnea) ou acondicionados para venda a retalho.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30042029	30	3004	30042	1949	Outra entrada de mercadoria ou presta‡Æo de servi‡o nÆo especificada	1	19	7534.94	Produtos farmacˆuticos.	""""""Medicamentos (exceto os produtos das posi‡äes 30.02, 30.05 ou 30.06) constitu¡dos por produtos misturados ou nÆo misturados, preparados para fins terapˆuticos ou profil ticos, apresentados em doses (incluindo os destinados a serem administrados por via percutƒnea) ou acondicionados para venda a retalho.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30045090	30	3004	30045	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	1023.0	Produtos farmacˆuticos.	""""""Medicamentos (exceto os produtos das posi‡äes 30.02, 30.05 ou 30.06) constitu¡dos por produtos misturados ou nÆo misturados, preparados para fins terapˆuticos ou profil ticos, apresentados em doses (incluindo os destinados a serem administrados por via percutƒnea) ou acondicionados para venda a retalho.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	30049099	30	3004	30049	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	547.62	Produtos farmacˆuticos.	""""""Medicamentos (exceto os produtos das posi‡äes 30.02, 30.05 ou 30.06) constitu¡dos por produtos misturados ou nÆo misturados, preparados para fins terapˆuticos ou profil ticos, apresentados em doses (incluindo os destinados a serem administrados por via percutƒnea) ou acondicionados para venda a retalho.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38086210	38	3808	38086	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	25638.55	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Mercadorias mencionadas na Nota de subposi‡äes 2 do presente Cap¡tulo:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38089192	38	3808	38089	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	3714.25	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38089199	38	3808	38089	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	6558.75	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38089322	38	3808	38089	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	5783.13	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38089329	38	3808	38089	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	10602.41	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	38089429	38	3808	38089	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	518.4	Produtos diversos das ind£strias qu¡micas.	""""""Inseticidas, rodenticidas, fungicidas, herbicidas, inibidores de germina‡Æo e reguladores de crescimento para plantas, desinfetantes e produtos semelhantes, apresentados em formas ou embalagens para venda a retalho ou como prepara‡äes ou ainda sob a forma de artigos, tais como fitas, mechas e velas sulfuradas e papel mata-moscas.""""""	- Outros:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	39259090	39	3925	39259	2202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	2	22	87.22	Pl stico e suas obras.	""""""Artigos para apetrechamento de constru‡äes, de pl stico, nÆo especificados nem compreendidos noutras posi‡äes.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	40111000	40	4011	40111	1411	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros em opera‡Æo com mercadoria sujeita ao regime de substitui‡Æo tribut ria	1	14	2114.64	Borracha e suas obras.	""""""Pneum ticos novos, de borracha.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	40151900	40	4015	40151	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	998.0	Borracha e suas obras.	""""""Vestu rio e seus acess¢rios (incluindo as luvas, mitenes e semelhantes), de borracha vulcanizada nÆo endurecida, para quaisquer usos.""""""	""""""- Luvas, mitenes e semelhantes:"""""""							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	41079210	41	4107	41079	1101	Compra para industrializa‡Æo ou produ‡Æo rural	1	11	456354.0	""""""Peles, exceto as peles com pelo, e couros.""""""	""""""Couros preparados ap¢s curtimenta ou ap¢s secagem (crusting) e couros e peles apergaminhados, de bovinos (incluindo os b£falos) ou de equ¡deos, depilados, mesmo divididos, exceto os da posi‡Æo 41.14.""""""	""""""- Outros, incluindo as tiras:"""""""							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	61169300	61	6116	61169	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	300.0	""""""Vestu rio e seus acess¢rios, de malha.""""""	""""""Luvas, mitenes e semelhantes, de malha.""""""	- Outras:"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	61178090	61	6117	61178	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	775.03	""""""Vestu rio e seus acess¢rios, de malha.""""""	""""""Outros acess¢rios de vestu rio, confeccionados, de malha"	" partes de vestu rio ou de seus acess¢rios, de malha.""""""	"						
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	63079010	63	6307	63079	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	138.0	""""""Outros artigos tˆxteis confeccionados"	 sortidos	 artigos de mat‚rias tˆxteis e artigos de uso semelhante, usados	" trapos.""""""	""""""Outros artigos confeccionados, incluindo os moldes para vestu rio.""""""	"				
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	64019200	64	6401	64019	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	1669.0	""""""Cal‡ado, polainas e artigos semelhantes"	" suas partes.""""""	""""""Cal‡ado imperme vel de sola exterior e parte superior de borracha ou pl stico, em que a parte superior nÆo tenha sido reunida … sola exterior por costura ou por meio de rebites, pregos, parafusos, espigäes ou dispositivos semelhantes, nem formada por diferentes partes reunidas pelos mesmos processos.""""""	- Outro cal‡ado:"						
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	84213910	84	8421	84213	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	256.0	""""""Reatores nucleares, caldeiras, m quinas, aparelhos e instrumentos mecƒnicos, e suas partes.""""""	""""""Centrifugadores, incluindo os secadores centr¡fugos"	" aparelhos para filtrar ou depurar l¡quidos ou gases.""""""	- Aparelhos para filtrar ou depurar gases:"						
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	84733042	84	8473	84733	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	134.64	""""""Reatores nucleares, caldeiras, m quinas, aparelhos e instrumentos mecƒnicos, e suas partes.""""""	""""""Partes e acess¢rios (exceto estojos, capas e semelhantes) reconhec¡veis como exclusiva ou principalmente destinados …s m quinas ou aparelhos das posi‡äes 84.70 a 84.72.""""""	"							
"2018	0 - entrada	ABAETETUBA	0151201	Cria‡Æo de bovinos para corte	01	015	01512	84818099	84	8481	84818	1202	Devolu‡Æo de venda de mercadoria adquirida ou recebida de terceiros	1	12	8.0	""""""Reatores nucleares, caldeiras, m quinas, aparelhos e instrumentos mecƒnicos, e suas partes.""""""	""""""Torneiras, v lvulas (incluindo as redutoras de pressÆo e as termost ticas) e dispositivos semelhantes, para canaliza‡äes, caldeiras, reservat¢rios, cubas e outros recipientes.""""""	"							
